time_s,ax,ay,az,gx,gy,gz,current,voltage,power,label
3.508,-3600.0,-1424.0,22964.0,-212.0,-734.0,-153.0,0.461,12.37,5.7,defect
3.616,2012.0,720.0,18808.0,-318.0,208.0,-33.0,0.267,12.3,3.28,defect
3.724,-1888.0,268.0,21948.0,-654.0,-258.0,-77.0,0.158,12.23,1.93,defect
3.832,5524.0,-2036.0,20500.0,-381.0,1363.0,-189.0,0.114,12.22,1.39,defect
3.94,896.0,-1252.0,21896.0,-270.0,328.0,-89.0,0.159,12.25,1.95,defect
4.048,-164.0,-2272.0,21248.0,-233.0,204.0,-268.0,0.38,12.35,3.93,defect
4.156,-3000.0,-2344.0,23396.0,-229.0,-628.0,-175.0,0.439,12.38,5.43,defect
4.265,1260.0,168.0,20968.0,-314.0,249.0,106.0,0.441,12.36,5.44,defect
4.373,-3428.0,12.0,26276.0,-510.0,-621.0,-73.0,0.221,12.26,3.47,defect
4.481,1544.0,468.0,20440.0,-561.0,407.0,-59.0,0.131,12.23,1.6,defect
4.59,2052.0,120.0,20084.0,-401.0,227.0,-80.0,0.113,12.22,1.38,defect
4.698,588.0,-1912.0,22496.0,-259.0,179.0,-172.0,0.192,12.28,2.37,defect
4.806,144.0,1012.0,21756.0,-290.0,247.0,-95.0,0.33,12.33,4.07,defect
4.914,2200.0,-1280.0,21400.0,-267.0,952.0,-205.0,0.445,12.37,5.51,defect
5.023,-3084.0,896.0,23036.0,-152.0,-509.0,-117.0,0.462,12.37,5.71,defect
5.13,5040.0,-272.0,18636.0,-270.0,990.0,122.0,0.347,12.34,4.27,defect
5.238,1220.0,-1408.0,20732.0,-304.0,180.0,-167.0,0.224,12.27,2.75,defect
5.345,-1924.0,648.0,21388.0,-516.0,18.0,-11.0,0.119,12.22,1.45,defect
5.454,-288.0,-1224.0,23188.0,-573.0,1246.0,-112.0,0.119,12.22,1.46,defect
5.562,3776.0,920.0,20300.0,-486.0,834.0,56.0,0.203,12.3,2.5,defect
5.67,136.0,-836.0,21228.0,-460.0,321.0,-63.0,0.393,12.36,4.86,defect
5.778,652.0,-1036.0,21488.0,-373.0,100.0,11.0,0.455,12.38,5.64,defect
5.886,5820.0,64.0,20664.0,-271.0,1153.0,46.0,0.432,12.35,5.72,defect
5.995,-1268.0,-1744.0,21820.0,-180.0,68.0,-286.0,0.282,12.3,3.46,defect
6.102,416.0,1424.0,20724.0,-313.0,-580.0,63.0,0.165,12.24,2.01,defect
6.211,1484.0,-928.0,20344.0,-364.0,-140.0,225.0,0.115,12.22,1.41,defect
6.319,992.0,-2040.0,21420.0,-410.0,382.0,-191.0,0.17,12.26,2.09,defect
6.427,2772.0,-1092.0,20936.0,-367.0,858.0,-83.0,0.336,12.34,4.15,defect
6.535,-5392.0,496.0,23760.0,-512.0,-1738.0,-114.0,0.446,12.38,5.52,defect
6.643,-2344.0,-1252.0,22600.0,-388.0,-369.0,-195.0,0.444,12.37,5.49,defect
6.752,-1428.0,-856.0,22972.0,-406.0,-266.0,-142.0,0.25,12.28,3.07,defect
6.86,4388.0,432.0,20972.0,-268.0,936.0,-11.0,0.118,12.23,1.44,defect
6.968,-1264.0,-396.0,20984.0,-325.0,-142.0,-52.0,0.118,12.23,1.45,defect
7.076,452.0,-8.0,20896.0,-277.0,64.0,-49.0,0.193,12.27,2.37,defect
7.184,-528.0,-1212.0,21940.0,-12.0,-387.0,-70.0,0.381,12.36,4.71,defect
7.292,796.0,-564.0,19788.0,-422.0,390.0,63.0,0.454,12.38,5.62,defect
7.4,-1328.0,-312.0,23328.0,-493.0,316.0,-150.0,0.456,12.34,5.63,defect
7.509,-4356.0,-288.0,25408.0,-540.0,-627.0,-205.0,0.251,12.29,3.08,defect
7.616,1396.0,388.0,21472.0,-403.0,698.0,-153.0,0.148,12.23,1.81,defect
7.724,824.0,-732.0,19248.0,-314.0,-475.0,-83.0,0.118,12.22,1.37,defect
7.833,-6024.0,260.0,23848.0,-702.0,-1443.0,11.0,0.176,12.26,2.16,defect
7.941,-3052.0,552.0,21500.0,-500.0,-718.0,-206.0,0.326,12.34,4.03,defect
8.049,2312.0,-192.0,20008.0,-366.0,736.0,-97.0,0.453,12.38,5.61,defect
8.157,3656.0,-4160.0,25084.0,-244.0,1202.0,-621.0,0.461,12.37,5.69,defect
8.264,-1908.0,-1292.0,21396.0,-322.0,-28.0,-160.0,0.366,12.34,4.5,defect
8.373,-2452.0,-784.0,22280.0,-318.0,-296.0,-106.0,0.195,12.26,2.39,defect
8.481,8164.0,1644.0,17140.0,-95.0,1172.0,252.0,0.129,12.22,1.58,defect
8.589,-7280.0,-1000.0,25708.0,-360.0,-1332.0,-258.0,0.104,12.23,1.27,defect
8.698,-5468.0,-372.0,22372.0,-449.0,-677.0,-139.0,0.27,12.3,3.33,defect
8.806,3180.0,588.0,20332.0,-366.0,575.0,-133.0,0.376,12.35,4.65,defect
8.914,-3684.0,-1020.0,24012.0,-193.0,-388.0,-231.0,0.442,12.38,5.47,defect
9.023,-2316.0,-1860.0,23552.0,-192.0,-183.0,-146.0,0.375,12.34,4.61,defect
9.132,-1576.0,-452.0,23924.0,-293.0,-71.0,62.0,0.169,12.24,2.07,defect
9.24,2096.0,-1020.0,21612.0,-494.0,341.0,-246.0,0.111,12.22,1.35,defect
9.348,2868.0,128.0,21820.0,-351.0,661.0,-56.0,0.187,12.27,2.3,defect
9.456,1464.0,168.0,18652.0,-420.0,251.0,-131.0,0.371,12.34,4.58,defect
9.564,-48.0,-484.0,20500.0,-358.0,187.0,-48.0,0.445,12.37,5.5,defect
9.672,2512.0,1480.0,19864.0,-371.0,487.0,102.0,0.446,12.36,5.51,defect
9.781,-616.0,-3284.0,22140.0,-123.0,206.0,-219.0,0.303,12.31,3.72,defect
9.889,992.0,-1028.0,21528.0,-337.0,242.0,-10.0,0.184,12.23,2.25,defect
9.997,5092.0,824.0,19188.0,-457.0,743.0,102.0,0.112,12.22,1.37,defect
10.106,-1512.0,-3500.0,22692.0,65.0,58.0,-228.0,0.146,12.24,1.79,defect
10.213,1600.0,-1384.0,22340.0,-172.0,302.0,-155.0,0.322,12.33,3.24,defect
10.321,3260.0,-1368.0,19476.0,-242.0,809.0,-83.0,0.439,12.37,5.43,defect
10.429,-2804.0,-1124.0,22320.0,-206.0,-266.0,-236.0,0.483,12.38,5.98,defect
10.538,-540.0,-1340.0,21728.0,-246.0,-244.0,-177.0,0.267,12.3,3.27,defect
10.646,-744.0,-88.0,22272.0,-471.0,17.0,-14.0,0.16,12.24,1.96,defect
10.754,3928.0,296.0,18752.0,-324.0,550.0,-196.0,0.114,12.22,1.4,defect
10.862,340.0,-1220.0,21036.0,-281.0,371.0,-123.0,0.153,12.24,1.88,defect
10.97,1456.0,804.0,20136.0,-308.0,-83.0,-217.0,0.288,12.32,3.55,defect
11.079,3028.0,-1368.0,16964.0,-372.0,1267.0,-154.0,0.414,12.36,5.12,defect
11.186,1072.0,352.0,20088.0,-371.0,365.0,-36.0,0.456,12.38,5.63,defect
11.295,-556.0,-1080.0,21436.0,-426.0,104.0,-133.0,0.37,12.34,4.56,defect
11.402,1108.0,412.0,22644.0,-17.0,-194.0,19.0,0.231,12.28,2.82,defect
11.511,1100.0,-1104.0,21896.0,-281.0,409.0,-72.0,0.116,12.22,1.42,defect
11.618,1336.0,968.0,20576.0,-525.0,258.0,40.0,0.123,12.23,1.51,defect
11.727,3684.0,-400.0,17724.0,-263.0,780.0,-23.0,0.181,12.3,2.22,defect
11.835,-1888.0,-600.0,21864.0,-345.0,-55.0,-177.0,0.366,12.35,4.53,defect
11.943,-796.0,-1140.0,23072.0,-334.0,77.0,-66.0,0.444,12.38,5.5,defect
12.051,652.0,-972.0,21896.0,-274.0,-302.0,-80.0,0.447,12.36,5.7,defect
12.159,140.0,-300.0,21084.0,-579.0,-69.0,-59.0,0.313,12.32,3.84,defect
12.267,1324.0,-800.0,20992.0,-358.0,419.0,-188.0,0.193,12.26,2.36,defect
12.375,148.0,-1628.0,23512.0,-280.0,215.0,-111.0,0.113,12.22,1.38,defect
12.483,1840.0,-716.0,19260.0,-490.0,815.0,5.0,0.145,12.24,1.78,defect
12.593,-716.0,-48.0,22408.0,-374.0,-245.0,45.0,0.271,12.31,3.34,defect
12.699,-888.0,-932.0,23112.0,-531.0,253.0,-5.0,0.433,12.38,5.36,defect
12.808,-2844.0,-1280.0,24272.0,-187.0,-128.0,-232.0,0.457,12.37,5.65,defect
12.916,2968.0,-1140.0,19872.0,-466.0,782.0,-202.0,0.285,12.3,3.5,defect
13.024,92.0,1356.0,20808.0,-332.0,-621.0,165.0,0.134,12.23,1.64,defect
13.133,-2184.0,-1448.0,21224.0,-261.0,-266.0,-167.0,0.113,12.22,1.39,defect
13.241,1464.0,-1348.0,19564.0,-233.0,373.0,52.0,0.231,12.28,2.84,defect
13.35,-1960.0,-1952.0,21456.0,-4.0,-520.0,101.0,0.41,12.36,5.08,defect
13.458,-2232.0,-1664.0,21136.0,-263.0,-299.0,-307.0,0.462,12.38,5.72,defect
13.567,6756.0,248.0,18500.0,-358.0,1629.0,31.0,0.375,12.34,4.62,defect
13.675,1500.0,-3964.0,24116.0,-418.0,2067.0,-31.0,0.186,12.25,2.28,defect
13.783,5156.0,1520.0,16688.0,-568.0,761.0,286.0,0.118,12.22,1.45,defect
13.891,2984.0,-1948.0,22572.0,-187.0,721.0,-37.0,0.12,12.23,1.46,defect
13.999,-6188.0,164.0,22400.0,-696.0,-1539.0,-33.0,0.255,12.3,3.14,defect
14.107,-964.0,-2520.0,23980.0,-246.0,230.0,-135.0,0.383,12.36,4.74,defect
14.215,5676.0,124.0,19196.0,-466.0,1223.0,14.0,0.487,12.38,6.03,defect
14.323,-2120.0,672.0,24572.0,-619.0,-214.0,-179.0,0.426,12.35,5.26,defect
14.431,1092.0,-492.0,21268.0,-254.0,407.0,52.0,0.275,12.3,3.37,defect
14.539,2180.0,-2316.0,22136.0,-356.0,345.0,-97.0,0.134,12.22,2.04,defect
14.647,-244.0,-900.0,20332.0,6.0,59.0,-126.0,0.115,12.22,1.41,defect
14.755,-1704.0,-348.0,23444.0,-275.0,-281.0,-5.0,0.165,12.26,2.03,defect
14.864,-1780.0,-588.0,22540.0,-416.0,-141.0,-101.0,0.371,12.36,4.58,defect
14.972,-1912.0,-180.0,24684.0,-446.0,-51.0,-214.0,0.451,12.38,5.58,defect
15.079,1964.0,444.0,20912.0,-328.0,21.0,-104.0,0.449,12.37,5.54,defect
15.187,540.0,-1044.0,19832.0,-231.0,271.0,9.0,0.27,12.3,3.31,defect
15.296,4560.0,-1200.0,21124.0,-399.0,771.0,-135.0,0.161,12.24,1.97,defect
15.404,-548.0,-524.0,22100.0,-316.0,-60.0,-19.0,0.113,12.22,1.38,defect
15.512,164.0,-428.0,22220.0,-283.0,363.0,-107.0,0.151,12.25,1.85,defect
15.62,-6356.0,-560.0,26060.0,-284.0,-1883.0,-283.0,0.324,12.32,4.0,defect
15.73,160.0,-260.0,21640.0,-488.0,200.0,-162.0,0.46,12.38,5.69,defect
15.837,24.0,140.0,23764.0,-419.0,-219.0,-54.0,0.428,12.35,5.28,defect
15.945,-6996.0,1572.0,25740.0,-478.0,-1518.0,-30.0,0.256,12.29,3.15,defect
16.053,1648.0,-788.0,20128.0,-386.0,652.0,-116.0,0.146,12.22,1.79,defect
16.162,2672.0,552.0,19064.0,-359.0,592.0,-66.0,0.124,12.22,1.52,defect
16.27,-2916.0,-2972.0,23684.0,-191.0,-546.0,-416.0,0.21,12.28,2.59,defect
16.378,1232.0,-816.0,21740.0,-420.0,415.0,-107.0,0.409,12.37,5.06,defect
16.486,-932.0,-480.0,22052.0,-395.0,-3.0,-39.0,0.454,12.38,5.62,defect
16.594,244.0,-2048.0,23356.0,-349.0,256.0,-257.0,0.364,12.33,4.48,defect
16.702,308.0,-900.0,21280.0,-537.0,699.0,-138.0,0.167,12.24,2.56,defect
16.81,-588.0,340.0,23540.0,-408.0,27.0,-78.0,0.113,12.22,1.39,defect
16.919,-528.0,-1688.0,22752.0,-270.0,82.0,-143.0,0.14,12.24,1.72,defect
17.027,1292.0,572.0,21060.0,-326.0,127.0,-67.0,0.317,12.33,3.92,defect
17.134,532.0,-344.0,21424.0,-370.0,90.0,-18.0,0.427,12.37,5.29,defect
17.243,-356.0,-980.0,22264.0,-390.0,-178.0,-91.0,0.462,12.37,5.71,defect
17.351,1860.0,140.0,20644.0,-668.0,520.0,39.0,0.307,12.31,3.77,defect
17.459,684.0,192.0,20836.0,-390.0,240.0,-26.0,0.176,12.25,2.16,defect
17.567,1132.0,852.0,19680.0,-344.0,400.0,-7.0,0.12,12.21,1.47,defect
17.675,-2332.0,-360.0,23400.0,-192.0,-236.0,-65.0,0.153,12.24,1.88,defect
17.783,-20.0,-732.0,20836.0,-380.0,162.0,-85.0,0.289,12.31,3.57,defect
17.891,996.0,-644.0,21048.0,-317.0,672.0,-146.0,0.399,12.37,4.93,defect
17.999,-380.0,724.0,21372.0,-312.0,-292.0,94.0,0.453,12.37,5.6,defect
18.107,2040.0,572.0,19296.0,-290.0,284.0,56.0,0.413,12.35,5.1,defect
18.215,-464.0,-1540.0,23084.0,-213.0,-187.0,-91.0,0.211,12.27,3.22,defect
18.323,12164.0,1236.0,15040.0,-604.0,306.0,251.0,0.131,12.22,1.6,defect
18.431,108.0,-356.0,23404.0,-272.0,49.0,-85.0,0.114,12.22,1.4,defect
18.54,-80.0,196.0,22816.0,-472.0,86.0,-145.0,0.236,12.3,2.91,defect
18.647,2060.0,-1784.0,21516.0,27.0,293.0,-208.0,0.36,12.36,4.46,defect
18.755,2708.0,-508.0,19008.0,-430.0,425.0,41.0,0.454,12.38,5.62,defect
18.863,720.0,-116.0,20560.0,-419.0,163.0,67.0,0.393,12.34,4.84,defect
18.972,-3516.0,1304.0,20876.0,-394.0,-1141.0,-21.0,0.233,12.27,2.85,defect
19.08,844.0,-584.0,20424.0,-388.0,249.0,-53.0,0.136,12.23,1.66,defect
19.188,-248.0,-356.0,20588.0,-367.0,24.0,-104.0,0.13,12.22,1.59,defect
19.296,4488.0,1428.0,20784.0,-439.0,970.0,251.0,0.2,12.28,2.46,defect
19.404,644.0,-792.0,20312.0,-390.0,419.0,-145.0,0.345,12.34,4.26,defect
19.512,-1280.0,-1460.0,24372.0,-350.0,-4.0,-193.0,0.445,12.38,5.51,defect
19.621,2156.0,-2164.0,21140.0,-352.0,579.0,-204.0,0.45,12.36,5.56,defect
19.728,2164.0,-1944.0,20352.0,-273.0,495.0,-52.0,0.326,12.29,4.01,defect
19.836,792.0,-152.0,20972.0,-393.0,140.0,-43.0,0.161,12.24,1.96,defect
19.944,220.0,-1496.0,22112.0,-342.0,39.0,-65.0,0.114,12.22,1.4,defect
20.052,832.0,-480.0,22152.0,-128.0,354.0,-85.0,0.151,12.25,1.61,defect
20.16,-604.0,-3584.0,23856.0,-185.0,88.0,-184.0,0.273,12.31,3.37,defect
20.268,-104.0,-516.0,21908.0,-460.0,-41.0,-42.0,0.392,12.36,4.85,defect
20.377,576.0,-1692.0,22632.0,-316.0,265.0,-160.0,0.463,12.37,5.73,defect
20.485,4080.0,1164.0,17924.0,-375.0,781.0,250.0,0.385,12.34,4.74,defect
20.593,-560.0,-904.0,21404.0,-282.0,-27.0,-168.0,0.246,12.28,3.01,defect
20.7,116.0,280.0,20644.0,-706.0,387.0,20.0,0.123,12.22,1.51,defect
20.809,1112.0,-1076.0,20908.0,-406.0,501.0,-48.0,0.117,12.22,1.43,defect
20.917,-936.0,-1476.0,21800.0,-289.0,-23.0,6.0,0.162,12.25,1.99,defect
21.025,-2064.0,-272.0,22052.0,-475.0,-243.0,-276.0,0.329,12.34,4.07,defect
21.133,204.0,256.0,21316.0,-482.0,212.0,-2.0,0.436,12.38,5.4,defect
21.241,340.0,-2456.0,21468.0,-455.0,731.0,-252.0,0.46,12.36,5.69,defect
21.349,-2320.0,-1576.0,19780.0,-307.0,-315.0,-290.0,0.317,12.32,3.89,defect
21.459,-2576.0,-2388.0,23392.0,-332.0,-166.0,-207.0,0.155,12.25,1.89,defect
21.567,-1424.0,-776.0,22204.0,-410.0,-18.0,-87.0,0.116,12.22,1.42,defect
21.675,-216.0,-1468.0,22424.0,-247.0,60.0,-236.0,0.204,12.28,2.51,defect
21.783,1536.0,140.0,21516.0,-247.0,337.0,-71.0,0.342,12.34,4.23,defect
21.891,-924.0,-940.0,22304.0,-323.0,-148.0,-78.0,0.432,12.38,5.35,defect
21.999,912.0,-468.0,20976.0,-525.0,316.0,-146.0,0.445,12.36,5.49,defect
22.107,-200.0,-876.0,21440.0,-296.0,29.0,-197.0,0.299,12.3,3.67,defect
22.215,-464.0,144.0,21344.0,-417.0,175.0,1.0,0.141,12.22,2.11,defect
22.323,992.0,-168.0,20756.0,-280.0,95.0,79.0,0.117,12.22,1.43,defect
22.432,880.0,-520.0,20696.0,-308.0,488.0,-90.0,0.15,12.25,1.84,defect
22.54,6504.0,896.0,17728.0,-198.0,1248.0,38.0,0.354,12.35,4.37,defect
22.648,3460.0,-1088.0,20668.0,-304.0,615.0,-19.0,0.443,12.38,5.48,defect
22.756,-5540.0,320.0,25256.0,-710.0,-998.0,-199.0,0.475,12.37,5.87,defect
22.864,2832.0,-152.0,20596.0,-414.0,530.0,-26.0,0.3,12.31,3.69,defect
22.972,-800.0,-1504.0,22008.0,-250.0,704.0,-95.0,0.183,12.26,2.24,defect
23.08,3204.0,-2424.0,24148.0,-467.0,787.0,-380.0,0.12,12.22,1.47,defect
23.188,-140.0,-40.0,21016.0,-315.0,150.0,-93.0,0.143,12.24,1.75,defect
23.296,908.0,-176.0,21216.0,-335.0,613.0,-20.0,0.261,12.3,3.22,defect
23.405,-5112.0,-3128.0,23420.0,-323.0,-997.0,-472.0,0.384,12.37,4.75,defect
23.514,-992.0,-1068.0,22524.0,-297.0,-267.0,-190.0,0.45,12.37,5.55,defect
23.622,700.0,-236.0,21984.0,-503.0,253.0,-165.0,0.334,12.33,4.1,defect
23.729,-1176.0,40.0,21196.0,-291.0,-88.0,18.0,0.196,12.24,2.41,defect
23.837,764.0,344.0,20488.0,-278.0,2.0,-102.0,0.119,12.21,1.45,defect
23.945,860.0,-112.0,21788.0,-402.0,89.0,-43.0,0.146,12.25,1.79,defect
24.054,2284.0,-2724.0,20836.0,-383.0,784.0,-219.0,0.366,12.35,3.83,defect
24.162,1500.0,-508.0,19948.0,-86.0,284.0,-66.0,0.45,12.38,5.57,defect
24.27,-1296.0,-1824.0,23164.0,-347.0,-16.0,-221.0,0.441,12.36,5.44,defect
24.378,1216.0,-1052.0,21304.0,-459.0,376.0,-124.0,0.235,12.28,2.88,defect
24.486,-1708.0,-132.0,22040.0,-149.0,-311.0,-108.0,0.136,12.23,1.66,defect
24.593,1044.0,-216.0,18440.0,-464.0,393.0,-20.0,0.113,12.22,1.38,defect
24.702,3004.0,-1012.0,21508.0,-403.0,547.0,-41.0,0.235,12.3,2.9,defect
24.81,-2772.0,-828.0,23688.0,104.0,-711.0,-137.0,0.392,12.35,4.85,defect
24.918,1492.0,268.0,20212.0,-283.0,208.0,-10.0,0.468,12.38,5.79,defect
25.026,280.0,-2504.0,22288.0,-273.0,523.0,-248.0,0.381,12.34,4.69,defect
25.134,-2312.0,-28.0,22760.0,-583.0,-528.0,-231.0,0.216,12.27,2.64,defect
25.242,1508.0,-108.0,20388.0,-354.0,61.0,-93.0,0.13,12.22,1.59,defect
25.35,-616.0,-1264.0,22552.0,-235.0,20.0,-151.0,0.141,12.22,1.72,defect
25.459,-3088.0,-3064.0,23668.0,-368.0,54.0,-373.0,0.233,12.29,2.86,defect
25.567,1504.0,168.0,21984.0,-339.0,6.0,-38.0,0.364,12.36,4.5,defect
25.675,2836.0,-480.0,20516.0,-363.0,612.0,-72.0,0.453,12.38,5.61,defect
25.782,164.0,-2212.0,23044.0,-194.0,621.0,6.0,0.438,12.36,5.41,defect
25.89,2076.0,516.0,21212.0,-574.0,352.0,50.0,0.238,12.28,3.71,defect
25.998,-592.0,396.0,21344.0,-325.0,-337.0,-123.0,0.147,12.22,1.79,defect
26.107,1884.0,188.0,20044.0,-313.0,531.0,48.0,0.115,12.22,1.41,defect
26.215,5340.0,-992.0,19524.0,-496.0,1271.0,-63.0,0.214,12.28,2.64,defect
26.322,108.0,-1024.0,24036.0,-567.0,157.0,-257.0,0.355,12.34,4.39,defect
26.431,-544.0,1204.0,17408.0,-346.0,-44.0,73.0,0.424,12.38,5.25,defect
26.54,-1808.0,60.0,21016.0,-825.0,49.0,-54.0,0.445,12.36,5.5,defect
26.647,3904.0,-952.0,20152.0,-296.0,850.0,17.0,0.295,12.31,3.62,defect
26.755,1672.0,136.0,20816.0,-476.0,567.0,6.0,0.174,12.25,2.13,defect
26.863,-244.0,-1040.0,24608.0,-283.0,-110.0,-114.0,0.112,12.22,1.37,defect
26.972,-1324.0,-1688.0,23140.0,-315.0,-119.0,-188.0,0.156,12.24,1.91,defect
27.08,1768.0,1284.0,21960.0,-434.0,15.0,-40.0,0.354,12.35,4.37,defect
27.188,-4464.0,632.0,22400.0,-388.0,-899.0,-41.0,0.462,12.38,5.72,defect
27.296,1560.0,-172.0,21724.0,-272.0,146.0,-36.0,0.444,12.36,5.48,defect
27.404,2116.0,400.0,20088.0,-402.0,270.0,-33.0,0.296,12.28,3.64,defect
27.513,1060.0,-88.0,19484.0,-323.0,-326.0,-135.0,0.147,12.24,1.8,defect
27.621,2060.0,-628.0,21712.0,-460.0,547.0,57.0,0.113,12.22,1.39,defect
27.729,176.0,-872.0,21240.0,-288.0,106.0,-16.0,0.174,12.26,1.75,defect
27.836,-112.0,224.0,21384.0,-342.0,36.0,-14.0,0.307,12.34,3.79,defect
27.945,-240.0,604.0,20264.0,-252.0,-94.0,-37.0,0.436,12.38,5.39,defect
28.053,1688.0,-460.0,17972.0,-411.0,480.0,-143.0,0.44,12.36,5.44,defect
28.161,2904.0,752.0,19800.0,-414.0,373.0,35.0,0.284,12.31,3.49,defect
28.269,1616.0,-3432.0,20984.0,87.0,348.0,-186.0,0.168,12.24,2.06,defect
28.378,148.0,-1788.0,22256.0,-302.0,137.0,-153.0,0.115,12.22,1.41,defect
28.485,1020.0,-1252.0,21604.0,-336.0,179.0,28.0,0.153,12.25,1.88,defect
28.593,5144.0,-1336.0,20780.0,-480.0,1200.0,-152.0,0.284,12.32,3.51,defect
28.701,1652.0,-452.0,20600.0,-318.0,346.0,48.0,0.428,12.37,5.3,defect
28.809,-944.0,-1480.0,21516.0,-310.0,59.0,17.0,0.458,12.38,5.66,defect
28.917,1376.0,-820.0,22460.0,-271.0,546.0,-56.0,0.397,12.34,4.9,defect
29.025,752.0,-768.0,21704.0,-269.0,192.0,-174.0,0.211,12.27,2.59,defect
29.133,-16.0,-1436.0,21892.0,-337.0,78.0,-55.0,0.129,12.23,1.57,defect
